,city,date,gender,match_type,player of the match,team 1,team 2,team_1_batting_average,team_1_bowling_average,team_2_batting_average,team_2_bowling_average,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
0,Bangalore,2008-04-18,male,T20,BB McCullum,Kolkata Knight Riders,Royal Challengers Bangalore,5.0,5.0,3.0,12.0,field,Royal Challengers Bangalore,Asad Rauf,RE Koertzen,M Chinnaswamy Stadium,140,0,Kolkata Knight Riders
1,Chandigarh,2008-04-19,male,T20,MEK Hussey,Chennai Super Kings,Kings XI Punjab,5.0,54.0,5.0,47.0,bat,Chennai Super Kings,MR Benson,SL Shastri,"Punjab Cricket Association Stadium, Mohali",33,0,Chennai Super Kings
2,Delhi,2008-04-19,male,T20,MF Maharoof,Rajasthan Royals,Delhi Daredevils,5.0,21.0,5.0,5.0,bat,Rajasthan Royals,Aleem Dar,GA Pratapkumar,Feroz Shah Kotla,0,9,Delhi Daredevils
3,Mumbai,2008-04-20,male,T20,MV Boucher,Mumbai Indians,Royal Challengers Bangalore,28.0,14.75,3.0,19.0,bat,Mumbai Indians,SJ Davis,DJ Harper,Wankhede Stadium,0,5,Royal Challengers Bangalore
4,Kolkata,2008-04-20,male,T20,DJ Hussey,Deccan Chargers,Kolkata Knight Riders,5.0,5.666666666666667,50.0,10.0,bat,Deccan Chargers,BF Bowden,K Hariharan,Eden Gardens,0,5,Kolkata Knight Riders
5,Jaipur,2008-04-21,male,T20,SR Watson,Kings XI Punjab,Rajasthan Royals,5.0,70.0,97.0,73.0,bat,Kings XI Punjab,Aleem Dar,RB Tiffin,Sawai Mansingh Stadium,0,6,Rajasthan Royals
6,Hyderabad,2008-04-22,male,T20,V Sehwag,Deccan Chargers,Delhi Daredevils,12.0,36.0,5.0,16.0,bat,Deccan Chargers,IL Howell,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",0,9,Delhi Daredevils
7,Chennai,2008-04-23,male,T20,ML Hayden,Chennai Super Kings,Mumbai Indians,5.0,15.0,65.0,25.333333333333332,field,Mumbai Indians,DJ Harper,GA Pratapkumar,"MA Chidambaram Stadium, Chepauk",6,0,Chennai Super Kings
8,Hyderabad,2008-04-24,male,T20,YK Pathan,Deccan Chargers,Rajasthan Royals,12.666666666666666,51.0,36.0,5.0,field,Rajasthan Royals,Asad Rauf,MR Benson,"Rajiv Gandhi International Stadium, Uppal",0,3,Rajasthan Royals
9,Chandigarh,2008-04-25,male,T20,KC Sangakkara,Kings XI Punjab,Mumbai Indians,16.0,20.5,5.0,17.4,field,Mumbai Indians,Aleem Dar,AM Saheba,"Punjab Cricket Association Stadium, Mohali",66,0,Kings XI Punjab
10,Bangalore,2008-04-26,male,T20,SR Watson,Royal Challengers Bangalore,Rajasthan Royals,20.0,30.5,81.0,63.0,field,Rajasthan Royals,MR Benson,IL Howell,M Chinnaswamy Stadium,0,7,Rajasthan Royals
11,Chennai,2008-04-26,male,T20,JDP Oram,Kolkata Knight Riders,Chennai Super Kings,5.0,27.0,37.5,17.0,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,"MA Chidambaram Stadium, Chepauk",0,9,Chennai Super Kings
12,Mumbai,2008-04-27,male,T20,AC Gilchrist,Mumbai Indians,Deccan Chargers,27.0,22.4,18.333333333333332,5.0,field,Deccan Chargers,Asad Rauf,SL Shastri,Dr DY Patil Sports Academy,0,10,Deccan Chargers
13,Chandigarh,2008-04-27,male,T20,SM Katich,Delhi Daredevils,Kings XI Punjab,18.0,16.285714285714285,46.0,32.0,bat,Delhi Daredevils,RE Koertzen,I Shivram,"Punjab Cricket Association Stadium, Mohali",0,4,Kings XI Punjab
14,Bangalore,2008-04-28,male,T20,MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,84.0,15.375,1.0,22.666666666666668,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,M Chinnaswamy Stadium,13,0,Chennai Super Kings
15,Kolkata,2008-04-29,male,T20,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,86.0,42.0,48.333333333333336,28.0,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,Eden Gardens,0,7,Mumbai Indians
16,Delhi,2008-04-30,male,T20,GD McGrath,Delhi Daredevils,Royal Challengers Bangalore,50.0,55.0,28.333333333333332,5.0,field,Royal Challengers Bangalore,Aleem Dar,I Shivram,Feroz Shah Kotla,10,0,Delhi Daredevils
17,Hyderabad,2008-05-01,male,T20,SE Marsh,Deccan Chargers,Kings XI Punjab,59.333333333333336,16.11111111111111,24.666666666666668,29.6,field,Kings XI Punjab,BR Doctrove,RB Tiffin,"Rajiv Gandhi International Stadium, Uppal",0,7,Kings XI Punjab
18,Jaipur,2008-05-01,male,T20,SA Asnodkar,Rajasthan Royals,Kolkata Knight Riders,5.0,12.0,1.0,24.166666666666668,bat,Rajasthan Royals,RE Koertzen,GA Pratapkumar,Sawai Mansingh Stadium,45,0,Rajasthan Royals
19,Chennai,2008-05-02,male,T20,V Sehwag,Chennai Super Kings,Delhi Daredevils,5.0,15.0,73.0,79.0,bat,Chennai Super Kings,BF Bowden,K Hariharan,"MA Chidambaram Stadium, Chepauk",0,8,Delhi Daredevils
20,Hyderabad,2008-05-25,male,T20,R Vinay Kumar,Deccan Chargers,Royal Challengers Bangalore,5.0,29.666666666666668,32.0,5.0,bat,Deccan Chargers,Asad Rauf,RE Koertzen,"Rajiv Gandhi International Stadium, Uppal",0,5,Royal Challengers Bangalore
21,Chandigarh,2008-05-03,male,T20,IK Pathan,Kings XI Punjab,Kolkata Knight Riders,45.0,38.75,32.333333333333336,14.909090909090908,bat,Kings XI Punjab,DJ Harper,I Shivram,"Punjab Cricket Association Stadium, Mohali",9,0,Kings XI Punjab
22,Mumbai,2008-05-04,male,T20,SM Pollock,Mumbai Indians,Delhi Daredevils,5.0,26.0,0.0,21.333333333333332,field,Delhi Daredevils,IL Howell,RE Koertzen,Dr DY Patil Sports Academy,29,0,Mumbai Indians
23,Jaipur,2008-05-04,male,T20,Sohail Tanvir,Chennai Super Kings,Rajasthan Royals,11.0,9.875,52.333333333333336,5.0,bat,Chennai Super Kings,Asad Rauf,AV Jayaprakash,Sawai Mansingh Stadium,0,8,Rajasthan Royals
24,Bangalore,2008-05-05,male,T20,S Sreesanth,Royal Challengers Bangalore,Kings XI Punjab,2.0,14.75,24.0,93.0,field,Kings XI Punjab,SJ Davis,BR Doctrove,M Chinnaswamy Stadium,0,6,Kings XI Punjab
25,Chennai,2008-05-06,male,T20,AC Gilchrist,Chennai Super Kings,Deccan Chargers,49.5,44.25,15.0,30.857142857142858,field,Deccan Chargers,MR Benson,RB Tiffin,"MA Chidambaram Stadium, Chepauk",0,7,Deccan Chargers
26,Mumbai,2008-05-07,male,T20,A Nehra,Rajasthan Royals,Mumbai Indians,4.0,40.75,42.2,11.5,field,Mumbai Indians,DJ Harper,RE Koertzen,Dr DY Patil Sports Academy,0,7,Mumbai Indians
27,Delhi,2008-05-08,male,T20,MS Dhoni,Delhi Daredevils,Chennai Super Kings,20.0,18.0,33.5,43.5,field,Chennai Super Kings,Aleem Dar,RB Tiffin,Feroz Shah Kotla,0,4,Chennai Super Kings
28,Kolkata,2008-05-08,male,T20,SC Ganguly,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,37.333333333333336,17.0,36.0,bat,Kolkata Knight Riders,Asad Rauf,IL Howell,Eden Gardens,5,0,Kolkata Knight Riders
29,Jaipur,2008-05-09,male,T20,YK Pathan,Deccan Chargers,Rajasthan Royals,5.0,16.625,53.25,25.375,field,Rajasthan Royals,MR Benson,AM Saheba,Sawai Mansingh Stadium,0,8,Rajasthan Royals
30,Bangalore,2008-05-28,male,T20,CRD Fernando,Royal Challengers Bangalore,Mumbai Indians,15.2,12.0,5.0,160.0,field,Mumbai Indians,BF Bowden,AV Jayaprakash,M Chinnaswamy Stadium,0,9,Mumbai Indians
31,Chennai,2008-05-10,male,T20,L Balaji,Chennai Super Kings,Kings XI Punjab,45.333333333333336,17.5,5.0,8.714285714285714,field,Kings XI Punjab,AV Jayaprakash,BG Jerling,"MA Chidambaram Stadium, Chepauk",18,0,Chennai Super Kings
32,Hyderabad,2008-05-11,male,T20,SC Ganguly,Kolkata Knight Riders,Deccan Chargers,30.0,29.11111111111111,37.25,29.666666666666668,bat,Kolkata Knight Riders,IL Howell,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",23,0,Kolkata Knight Riders
33,Jaipur,2008-05-11,male,T20,SR Watson,Delhi Daredevils,Rajasthan Royals,5.0,20.083333333333332,3.0,29.375,field,Rajasthan Royals,SJ Davis,RE Koertzen,Sawai Mansingh Stadium,0,3,Rajasthan Royals
34,Chandigarh,2008-05-12,male,T20,SE Marsh,Royal Challengers Bangalore,Kings XI Punjab,3.0,18.307692307692307,98.33333333333333,43.333333333333336,bat,Royal Challengers Bangalore,BR Doctrove,I Shivram,"Punjab Cricket Association Stadium, Mohali",0,9,Kings XI Punjab
35,Kolkata,2008-05-13,male,T20,Shoaib Akhtar,Kolkata Knight Riders,Delhi Daredevils,39.666666666666664,18.571428571428573,12.0,15.833333333333334,bat,Kolkata Knight Riders,Asad Rauf,IL Howell,Eden Gardens,23,0,Kolkata Knight Riders
36,Mumbai,2008-05-14,male,T20,ST Jayasuriya,Chennai Super Kings,Mumbai Indians,35.25,19.636363636363637,38.25,5.0,field,Mumbai Indians,BR Doctrove,AM Saheba,Wankhede Stadium,0,9,Mumbai Indians
37,Chandigarh,2008-05-28,male,T20,SE Marsh,Kings XI Punjab,Rajasthan Royals,27.625,21.692307692307693,5.0,17.714285714285715,field,Rajasthan Royals,SJ Davis,K Hariharan,"Punjab Cricket Association Stadium, Mohali",41,0,Kings XI Punjab
38,Delhi,2008-05-15,male,T20,A Mishra,Delhi Daredevils,Deccan Chargers,34.0,34.77777777777778,5.0,8.285714285714286,field,Deccan Chargers,BG Jerling,GA Pratapkumar,Feroz Shah Kotla,12,0,Delhi Daredevils
39,Mumbai,2008-05-16,male,T20,SM Pollock,Kolkata Knight Riders,Mumbai Indians,2.0,20.5,44.25,43.333333333333336,field,Mumbai Indians,BR Doctrove,DJ Harper,Wankhede Stadium,0,8,Mumbai Indians
40,Delhi,2008-05-17,male,T20,DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,13.0,38.0,29.0,23.0,bat,Delhi Daredevils,AV Jayaprakash,RE Koertzen,Feroz Shah Kotla,6,0,Kings XI Punjab
41,Jaipur,2008-05-17,male,T20,GC Smith,Rajasthan Royals,Royal Challengers Bangalore,59.166666666666664,48.5,28.9,5.0,field,Royal Challengers Bangalore,BF Bowden,SL Shastri,Sawai Mansingh Stadium,65,0,Rajasthan Royals
42,Hyderabad,2008-05-18,male,T20,DJ Bravo,Mumbai Indians,Deccan Chargers,23.0,29.0,11.0,24.636363636363637,field,Deccan Chargers,BR Doctrove,DJ Harper,"Rajiv Gandhi International Stadium, Uppal",25,0,Mumbai Indians
43,Kolkata,2008-05-18,male,T20,M Ntini,Kolkata Knight Riders,Chennai Super Kings,33.75,13.375,21.666666666666668,22.375,bat,Kolkata Knight Riders,Asad Rauf,K Hariharan,Eden Gardens,3,0,Chennai Super Kings
44,Bangalore,2008-05-19,male,T20,SP Goswami,Royal Challengers Bangalore,Delhi Daredevils,22.0,30.833333333333332,44.0,67.0,field,Delhi Daredevils,SJ Davis,GA Pratapkumar,M Chinnaswamy Stadium,0,5,Delhi Daredevils
45,Kolkata,2008-05-20,male,T20,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,11.0,12.142857142857142,32.6,21.75,field,Rajasthan Royals,BG Jerling,RE Koertzen,Eden Gardens,0,6,Rajasthan Royals
