,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
0,Belfast,2006-06-13,male,ODI,ME Trescothick,Ireland,England,bat,England,R Dill,DB Hair,"Civil Service Cricket Club, Stormont",38,0,England
1,Cardiff,2006-08-30,male,ODI,,England,Pakistan,field,Pakistan,BR Doctrove,IJ Gould,Sophia Gardens,0,0,no result
2,London,2006-09-02,male,ODI,Shoaib Akhtar,England,Pakistan,field,Pakistan,MR Benson,BR Doctrove,Lord's,0,7,Pakistan
3,Southampton,2006-09-05,male,ODI,Younis Khan,England,Pakistan,field,Pakistan,BR Doctrove,NJ Llong,The Rose Bowl,0,2,Pakistan
4,Nottingham,2006-09-08,male,ODI,IR Bell,England,Pakistan,bat,Pakistan,MR Benson,DJ Harper,Trent Bridge,0,8,England
5,Birmingham,2006-09-10,male,ODI,SI Mahmood,England,Pakistan,field,England,IJ Gould,DJ Harper,Edgbaston,0,3,England
6,London,2006-06-17,male,ODI,WU Tharanga,England,Sri Lanka,field,England,DB Hair,NJ Llong,Lord's,20,0,Sri Lanka
7,London,2006-06-20,male,ODI,ST Jayasuriya,England,Sri Lanka,bat,Sri Lanka,IJ Gould,DB Hair,Kennington Oval,46,0,Sri Lanka
8,Chester-le-Street,2006-06-24,male,ODI,DPMD Jayawardene,England,Sri Lanka,bat,England,MR Benson,BR Doctrove,Riverside Ground,0,8,Sri Lanka
9,Manchester,2006-06-28,male,ODI,DPMD Jayawardene,England,Sri Lanka,bat,Sri Lanka,BR Doctrove,NJ Llong,Old Trafford,33,0,Sri Lanka
10,Leeds,2006-07-01,male,ODI,ST Jayasuriya,England,Sri Lanka,bat,England,MR Benson,BR Doctrove,Headingley,0,8,Sri Lanka
11,Brisbane,2006-01-15,male,ODI,SM Pollock,Australia,South Africa,bat,Australia,Aleem Dar,SJA Taufel,"Brisbane Cricket Ground, Woolloongabba",0,5,South Africa
12,Melbourne,2006-01-20,male,ODI,B Lee,Australia,South Africa,bat,Australia,MR Benson,DJ Harper,Docklands Stadium,59,0,Australia
13,Melbourne,2006-02-03,male,ODI,MEK Hussey,Australia,South Africa,bat,Australia,Aleem Dar,PD Parker,Docklands Stadium,80,0,Australia
14,,2006-02-05,male,ODI,AC Gilchrist,Australia,South Africa,bat,Australia,Aleem Dar,PD Parker,Sydney Cricket Ground,57,0,Australia
15,,2006-01-22,male,ODI,ST Jayasuriya,Australia,Sri Lanka,bat,Sri Lanka,MR Benson,SJ Davis,Sydney Cricket Ground,51,0,Sri Lanka
16,,2006-01-26,male,ODI,A Symonds,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,SJ Davis,Adelaide Oval,0,5,Australia
17,Perth,2006-01-29,male,ODI,AC Gilchrist,Australia,Sri Lanka,bat,Sri Lanka,MR Benson,PD Parker,Western Australia Cricket Association Ground,0,6,Australia
18,Brisbane,2006-01-17,male,ODI,KC Sangakkara,South Africa,Sri Lanka,field,South Africa,Aleem Dar,DJ Harper,"Brisbane Cricket Ground, Woolloongabba",94,0,Sri Lanka
19,,2006-01-24,male,ODI,HH Dippenaar,South Africa,Sri Lanka,bat,South Africa,Aleem Dar,DJ Harper,Adelaide Oval,9,0,South Africa
20,Perth,2006-01-31,male,ODI,GC Smith,South Africa,Sri Lanka,bat,Sri Lanka,MR Benson,PD Parker,Western Australia Cricket Association Ground,0,5,South Africa
21,Hobart,2006-02-07,male,ODI,HMCM Bandara,South Africa,Sri Lanka,bat,Sri Lanka,MR Benson,DJ Harper,Bellerive Oval,76,0,Sri Lanka
22,Christchurch,2006-01-03,male,ODI,WU Tharanga,New Zealand,Sri Lanka,field,New Zealand,GAV Baxter,DB Hair,Jade Stadium,0,5,New Zealand
23,Wellington,2006-01-06,male,ODI,JS Patel,New Zealand,Sri Lanka,bat,New Zealand,DB Hair,AL Hill,Westpac Stadium,21,0,New Zealand
24,Peshawar,2006-02-06,male,ODI,Salman Butt,Pakistan,India,field,Pakistan,Asad Rauf,SJA Taufel,Arbab Niaz Stadium,7,0,Pakistan
25,,2006-02-10,male,ODI,KC Sangakkara,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,DJ Harper,Adelaide Oval,22,0,Sri Lanka
